Date,Close
2018-01-02,46.85
2018-01-03,45.26
2018-01-04,44.43
2018-01-05,44.74
2018-01-08,44.74
2018-01-09,43.62
2018-01-10,42.5
2018-01-11,43.41
2018-01-12,43.24
2018-01-16,43.14
2018-01-17,44.39
2018-01-18,44.48
2018-01-19,44.82
2018-01-22,45.75
2018-01-23,46.06
2018-01-24,45.51
2018-01-25,45.3
2018-01-26,50.08
2018-01-29,49.98
2018-01-30,48.79
2018-01-31,48.14
2018-02-01,47.65
2018-02-02,46.15
2018-02-05,44.52
2018-02-06,44.91
2018-02-07,45.2
2018-02-08,42.75
2018-02-09,43.95
2018-02-12,44.83
2018-02-13,44.46
2018-02-14,45.38
2018-02-15,45.92
2018-02-16,45.56
2018-02-20,46.32
2018-02-21,45.94
2018-02-22,45.8
2018-02-23,47.73
2018-02-26,49.11
2018-02-27,49.91
2018-02-28,49.29
2018-03-01,47.84
2018-03-02,48.98
2018-03-05,49.75
2018-03-06,50.71
2018-03-07,51.32
2018-03-08,50.74
2018-03-09,52.19
2018-03-12,51.52
2018-03-13,51.78
2018-03-14,51.86
2018-03-15,50.88
2018-03-16,51.17
2018-03-19,50.83
2018-03-20,51.55
2018-03-21,51.56
2018-03-22,50.83
2018-03-23,49.36
2018-03-26,52.48
2018-03-27,51.19
2018-03-28,49.6
2018-03-29,52.08
2018-04-02,48.92
2018-04-03,49.75
2018-04-04,49.99
2018-04-05,50.38
2018-04-06,48.79
2018-04-09,49.55
2018-04-10,51.27
2018-04-11,51.1
2018-04-12,52.72
2018-04-13,51.86
2018-04-16,52.4
2018-04-17,53.54
2018-04-18,53.61
2018-04-19,52.22
2018-04-20,51.53
2018-04-23,51.1
2018-04-24,51.45
2018-04-25,51.38
2018-04-26,53.05
2018-04-27,52.73
2018-04-30,51.62
2018-05-01,53.33
2018-05-02,52.31
2018-05-03,52.28
2018-05-04,52.78
2018-05-07,53.33
2018-05-08,53.63
2018-05-09,54.34
2018-05-10,54.98
2018-05-11,54.67
2018-05-14,54.9
2018-05-15,53.92
2018-05-16,54.64
2018-05-17,54.81
2018-05-18,54.81
2018-05-21,54.32
2018-05-22,54.45
2018-05-23,55.21
2018-05-24,54.75
2018-05-25,55.44
2018-05-29,55.32
2018-05-30,55.68
2018-05-31,55.2
2018-06-01,57.08
2018-06-04,56.83
2018-06-05,56.53
2018-06-06,57.03
2018-06-07,55.88
2018-06-08,55.05
2018-06-11,54.52
2018-06-12,54.82
2018-06-13,55.03
2018-06-14,55.54
2018-06-15,55.11
2018-06-18,53.22
2018-06-19,52.93
2018-06-20,53.46
2018-06-21,52.19
2018-06-22,52.5
2018-06-25,50.71
2018-06-26,49.67
2018-06-27,48.76
2018-06-28,49.25
2018-06-29,49.71
2018-07-02,50.2
2018-07-03,49.47
2018-07-05,50.75
2018-07-06,51.37
2018-07-09,51.86
2018-07-10,52.16
2018-07-11,51.2
2018-07-12,52.35
2018-07-13,52.22
2018-07-16,52.01
2018-07-17,51.75
2018-07-18,51.72
2018-07-19,51.98
2018-07-20,51.91
2018-07-23,52.31
2018-07-24,52.18
2018-07-25,52.43
2018-07-26,52.16
2018-07-27,47.68
2018-07-30,47.69
2018-07-31,48.1
2018-08-01,48.81
2018-08-02,49.48
2018-08-03,49.63
2018-08-06,49.3
2018-08-07,49.7
2018-08-08,49.96
2018-08-09,50.14
2018-08-10,48.85
2018-08-13,48.45
2018-08-14,48.12
2018-08-15,47.46
2018-08-16,47.17
2018-08-17,47.1
2018-08-20,46.5
2018-08-21,47.62
2018-08-22,47.05
2018-08-23,46.98
2018-08-24,47.66
2018-08-27,48.35
2018-08-28,48.57
2018-08-29,48.75
2018-08-30,48.24
2018-08-31,48.43
2018-09-04,47.96
2018-09-05,47.72
2018-09-06,47.26
2018-09-07,46.45
2018-09-10,46.3
2018-09-11,44.93
2018-09-12,44.93
2018-09-13,45.57
2018-09-14,45.54
2018-09-17,45.42
2018-09-18,46.1
2018-09-19,46.15
2018-09-20,47.2
2018-09-21,46.66
2018-09-24,46.91
