Date,Close
2018-01-02,49.84
2018-01-03,53.12
2018-01-04,53.4
2018-01-05,53.85
2018-01-08,55.5
2018-01-09,55.49
2018-01-10,55.92
2018-01-11,56.02
2018-01-12,55.75
2018-01-16,55.03
2018-01-17,56.18
2018-01-18,56.11
2018-01-19,57.53
2018-01-22,58.42
2018-01-23,59.73
2018-01-24,58.95
2018-01-25,59.09
2018-01-26,60.83
2018-01-29,61.71
2018-01-30,60.68
2018-01-31,61.45
2018-02-01,60.13
2018-02-02,58.38
2018-02-05,53.43
2018-02-06,56.4
2018-02-07,57.2
2018-02-08,54.38
2018-02-09,58.02
2018-02-12,57.01
2018-02-13,58.16
2018-02-14,60.36
2018-02-15,61.63
2018-02-16,60.96
2018-02-20,62.27
2018-02-21,60.38
2018-02-22,60.54
2018-02-23,61.48
2018-02-26,61.65
2018-02-27,61.52
2018-02-28,60.5
2018-03-01,58.05
2018-03-02,59.14
2018-03-05,58.91
2018-03-06,60.54
2018-03-07,60.46
2018-03-08,60.3
2018-03-09,61.33
2018-03-12,62.44
2018-03-13,61.93
2018-03-14,62.19
2018-03-15,62.34
2018-03-16,62.62
2018-03-19,60.25
2018-03-20,62.4
2018-03-21,62.14
2018-03-22,60.46
2018-03-23,58.24
2018-03-26,61.12
2018-03-27,56.38
2018-03-28,55.34
2018-03-29,57.9
2018-04-02,55.26
2018-04-03,56.34
2018-04-04,56.56
2018-04-05,55.35
2018-04-06,53.56
2018-04-09,53.85
2018-04-10,56.98
2018-04-11,56.56
2018-04-12,58.65
2018-04-13,57.88
2018-04-16,57.87
2018-04-17,59.39
2018-04-18,59.09
2018-04-19,57.26
2018-04-20,57.18
2018-04-23,55.97
2018-04-24,55.3
2018-04-25,54.17
2018-04-26,56.31
2018-04-27,56.58
2018-04-30,56.23
2018-05-01,56.79
2018-05-02,56.58
2018-05-03,58.25
2018-05-04,59.77
2018-05-07,62.17
2018-05-08,62.6
2018-05-09,63.95
2018-05-10,65.03
2018-05-11,63.63
2018-05-14,63.84
2018-05-15,61.39
2018-05-16,61.5
2018-05-17,61.93
2018-05-18,61.49
2018-05-21,61.06
2018-05-22,60.68
2018-05-23,61.89
2018-05-24,61.92
2018-05-25,62.32
2018-05-29,62.15
2018-05-30,63.25
2018-05-31,63.05
2018-06-01,64.41
2018-06-04,66.21
2018-06-05,66.27
2018-06-06,66.29
2018-06-07,65.72
2018-06-08,65.57
2018-06-11,65.16
2018-06-12,65.65
2018-06-13,65.6
2018-06-14,66.73
2018-06-15,66.32
2018-06-18,66.27
2018-06-19,65.04
2018-06-20,65.58
2018-06-21,64.28
2018-06-22,62.74
2018-06-25,59.78
2018-06-26,60.5
2018-06-27,58.93
2018-06-28,60.22
2018-06-29,59.23
2018-07-02,60.56
2018-07-03,59.21
2018-07-05,60.68
2018-07-06,61.83
2018-07-09,62.31
2018-07-10,63.31
2018-07-11,61.88
2018-07-12,62.81
2018-07-13,62.33
2018-07-16,62.05
2018-07-17,63.42
2018-07-18,62.93
2018-07-19,63.01
2018-07-20,62.72
2018-07-23,62.35
2018-07-24,62.18
2018-07-25,62.97
2018-07-26,63.71
2018-07-27,63.01
2018-07-30,61.03
2018-07-31,61.22
2018-08-01,61.62
2018-08-02,62.66
2018-08-03,63.03
2018-08-06,63.51
2018-08-07,64.24
2018-08-08,64.61
2018-08-09,64.11
2018-08-10,63.7
2018-08-13,64.03
2018-08-14,65.36
2018-08-15,64.77
2018-08-16,64.36
2018-08-17,61.21
2018-08-20,61.96
2018-08-21,63.33
2018-08-22,65.71
2018-08-23,66.71
2018-08-24,68.06
2018-08-27,68.97
2018-08-28,68.6
2018-08-29,69.62
2018-08-30,69.45
2018-08-31,70.17
2018-09-04,70.93
2018-09-05,69.61
2018-09-06,68.18
2018-09-07,67.97
2018-09-10,68.68
2018-09-11,68.2
2018-09-12,67.05
2018-09-13,67.83
2018-09-14,69.11
2018-09-17,68.48
2018-09-18,67.76
2018-09-19,68
2018-09-20,66.57
2018-09-21,65.86
2018-09-24,66.43
2018-09-25,67.1
2018-09-26,66.73
2018-09-27,66.85
2018-09-28,70.26
2018-10-01,72.34
2018-10-02,71.62
2018-10-03,71.68
2018-10-04,69.82
2018-10-05,67.47
2018-10-08,66.44
2018-10-09,66.39
2018-10-10,61.42
2018-10-11,58.78
2018-10-12,61.64
2018-10-15,58.85
2018-10-16,61.46
2018-10-17,60.77
2018-10-18,59.88
2018-10-19,57.29
2018-10-22,57.81
2018-10-23,55.27
2018-10-24,49.85
2018-10-25,51.96
2018-10-26,49.57
2018-10-29,46.41
2018-10-30,50.75
2018-10-31,52.71
2018-11-01,54.53
2018-11-02,53.73
2018-11-05,52.94
2018-11-06,52.77
2018-11-07,53.45
2018-11-08,51.5
2018-11-09,51.42
2018-11-12,47.39
2018-11-13,49.83
2018-11-14,49.3
2018-11-15,50.6
2018-11-16,41.11
2018-11-19,36.17
2018-11-20,37.27
2018-11-21,36.18
2018-11-23,36.25
2018-11-26,38.26
2018-11-27,38.43
2018-11-28,40.02
2018-11-29,39.34
2018-11-30,40.86
2018-12-03,42.51
2018-12-04,39.28
2018-12-06,39.57
2018-12-07,36.9
2018-12-10,37.97
2018-12-11,37.05
2018-12-12,37.23
2018-12-13,37.22
2018-12-14,36.61
2018-12-17,35.9
2018-12-18,36.74
2018-12-19,34.63
2018-12-20,33.78
2018-12-21,32.39
2018-12-24,31.77
2018-12-26,33.28
2018-12-27,32.79
2018-12-28,33.41
2018-12-31,33.38
2019-01-02,34.06
2019-01-03,32
2019-01-04,34.05
2019-01-07,35.85
2019-01-08,34.96
2019-01-09,35.65
2019-01-10,36.31
2019-01-11,37.21
2019-01-14,37.61
2019-01-15,37.47
2019-01-16,37.21
2019-01-17,37.93
2019-01-18,39.23
2019-01-22,37.19
2019-01-23,37.32
2019-01-24,39.46
2019-01-25,40.04
2019-01-28,34.5
2019-01-29,32.9
2019-01-30,34.35
2019-01-31,35.94
2019-02-01,36.18
2019-02-04,37.3
2019-02-05,37.49
2019-02-06,38.25
2019-02-07,36.85
2019-02-08,37.04
2019-02-11,36.61
2019-02-12,37.79
2019-02-13,38.22
2019-02-14,38.63
2019-02-15,39.34
2019-02-19,39.16
2019-02-20,39.64
2019-02-21,38.94
2019-02-22,39.8
2019-02-25,39.67
2019-02-26,39.28
2019-02-27,38.85
2019-02-28,38.57
2019-03-01,39.11
2019-03-04,39.2
2019-03-05,39.13
2019-03-06,38.01
2019-03-07,37.32
2019-03-08,37.66
2019-03-11,40.28
2019-03-12,40.63
2019-03-13,42.16
2019-03-14,41.39
2019-03-15,42.45
2019-03-18,42.24
2019-03-19,43.93
2019-03-20,43.6
2019-03-21,45.99
2019-03-22,44.38
2019-03-25,43.45
2019-03-26,44.22
2019-03-27,44.13
2019-03-28,44.31
2019-03-29,44.89
2019-04-01,45.57
2019-04-02,45.75
2019-04-03,47.16
2019-04-04,47.07
2019-04-05,47.74
2019-04-08,47.95
2019-04-09,47.32
2019-04-10,48.03
2019-04-11,47.89
2019-04-12,47.5
2019-04-15,46.18
2019-04-16,47.05
2019-04-17,46.82
2019-04-18,46.58
2019-04-22,47.12
2019-04-23,47.67
2019-04-24,47.79
2019-04-25,46.73
2019-04-26,44.52
2019-04-29,44.83
2019-04-30,45.25
2019-05-01,45.12
2019-05-02,45.8
2019-05-03,45.75
2019-05-06,44.96
2019-05-07,43.28
2019-05-08,43.48
2019-05-09,42.55
2019-05-10,42.21
2019-05-13,39.61
2019-05-14,40.51
2019-05-15,39.9
2019-05-16,40.05
2019-05-17,39.13
2019-05-20,37.94
2019-05-21,38.77
2019-05-22,38.05
2019-05-23,36.83
2019-05-24,36.29
2019-05-28,35.83
2019-05-29,35.09
2019-05-30,34.78
2019-05-31,33.87
2019-06-03,33.45
2019-06-04,35.75
2019-06-05,35.32
2019-06-06,35.95
2019-06-07,36.38
2019-06-10,37.11
2019-06-11,37.69
2019-06-12,36.55
2019-06-13,37.07
2019-06-14,36.16
2019-06-17,36.26
2019-06-18,38.22
2019-06-19,38.28
2019-06-20,38.53
2019-06-21,37.94
2019-06-24,38.17
2019-06-25,37.87
2019-06-26,39.82
2019-06-27,40.81
2019-06-28,41.06
2019-07-01,41.54
2019-07-02,40.56
2019-07-03,40.69
2019-07-05,40.06
2019-07-08,39.3
2019-07-09,39.33
2019-07-10,40.02
2019-07-11,41.57
2019-07-12,41.9
2019-07-15,41.82
2019-07-16,41.77
2019-07-17,42.43
2019-07-18,42.55
2019-07-19,42.11
2019-07-22,42.83
2019-07-23,43.92
2019-07-24,44.67
2019-07-25,43.35
2019-07-26,43.77
2019-07-29,43.71
2019-07-30,43.86
2019-07-31,42.18
2019-08-01,41.23
2019-08-02,40.3
2019-08-05,37.7
2019-08-06,38.09
2019-08-07,38.47
2019-08-08,39.57
2019-08-09,38.55
2019-08-12,37.86
2019-08-13,39.01
2019-08-14,37.52
2019-08-15,37.19
2019-08-16,39.89
2019-08-19,42.7
2019-08-20,41.97
2019-08-21,42.81
2019-08-22,42.87
2019-08-23,40.61
2019-08-26,41.36
2019-08-27,40.45
2019-08-28,40.31
2019-08-29,41.75
2019-08-30,41.88
2019-09-03,41.04
2019-09-04,42.19
2019-09-05,44.94
2019-09-06,44.66
2019-09-09,45.13
2019-09-10,45.8
2019-09-11,46.08
2019-09-12,46.07
2019-09-13,45.49
2019-09-16,45.05
2019-09-17,45.27
2019-09-18,45
2019-09-19,44.24
2019-09-20,43.17
2019-09-23,43.71
2019-09-24,43.13
2019-09-25,44.56
2019-09-26,44.34
2019-09-27,42.94
2019-09-30,43.52
2019-10-01,43.5
2019-10-02,43.26
2019-10-03,45.33
2019-10-04,45.49
2019-10-07,46.08
2019-10-08,44.31
2019-10-09,45.18
2019-10-10,45.76
2019-10-11,46.5
2019-10-14,46.63
2019-10-15,49.09
2019-10-16,48.55
2019-10-17,48.57
2019-10-18,47.62
2019-10-21,49
2019-10-22,48.9
2019-10-23,48.77
2019-10-24,49.22
2019-10-25,51.14
2019-10-28,51.7
2019-10-29,50.73
2019-10-30,50.75
2019-10-31,50.26
2019-11-01,50.65
2019-11-04,52.63
2019-11-05,52.4
2019-11-06,51.91
2019-11-07,52.09
2019-11-08,51.95
2019-11-11,52.05
2019-11-12,52.4
2019-11-13,52.14
2019-11-14,52.45
2019-11-15,51.05
2019-11-18,53.07
2019-11-19,52
2019-11-20,52.8
2019-11-21,52.55
2019-11-22,52.72
2019-11-25,55.3
2019-11-26,54.25
2019-11-27,54.56
2019-11-29,54.19
2019-12-02,52.31
2019-12-03,51.92
2019-12-04,52.36
2019-12-05,52.19
2019-12-06,53.04
2019-12-09,53.04
2019-12-10,53.5
2019-12-11,54.34
2019-12-12,56.02
2019-12-13,56
2019-12-16,56.29
2019-12-17,57.07
2019-12-18,57.38
2019-12-19,58.87
2019-12-20,59.84
2019-12-23,59.71
2019-12-24,59.66
2019-12-26,59.8
2019-12-27,59.22
